Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Undisclosed or unknown,"""Mind Device, Inc."",Relay Ace,PrimusAI,V3D Printing,TwinMo,Optellix,Response,Artura3D,Encycam,Nureo AG,Archaas,ShapesXR,Mimic Robotics,Vento,Mulin,Redwood EDA,Neofactory,Santinela,Werk24,Fainite AG,PAILOT,RBF MORPH,Normal,MapShots,Flexify,formfactories,Dados,Intelcyx,Digel,COSMODOT,Specira,Flow Software,Evolinq,Wailand,Quaoar Studio,Feather Solutions,Tanso3D (ceased operations in 2024),Asper Technologies (acquired by Siemens DISW in 2026),FOLDSTRUCT,HorneSci,BimDrone,cmBuilder.io,ProductFlo,Quarter20,Allus AI,ReilAI,HighQA,BIMtwin,ThredCloud,Octotronic,Optrix,Manufacturo,Vsim,PlaSiV,Spectar (bankrupt in 2023),Donut Labs,Kyrall,SUFFISCIENS,Twinview,Leap71,That Open Company,Fab.ai,Coreflux,Figurement,Wailand,Raven,Ara 3D,Elephant AI,BuildCore AI,Noah,XMPro,Foundation EGI,Pelico,Fainite AG,Vestigas,Cenos:,Eigen Space Design,PLCcode.ai,Cerebital (Nora IPLM),H3D,SomebodyMakeIt,MontBlancAI,KREODx,Cadify.ai,Harmoni,Digel,""Inkwell Data, Ltd"",Sheetbuild,Ironloop,Bill-X Gmbh,EltegraAI,Pasteur Labs & ISI,plus10,Omniscient,nuvo3D,Sedaro,SourcePilot,Dozuki (acquired by Marlin Equity Partners in 2021),Zenesis,F4 Industries,Hontrel,Omnae,AI MakerSpace,Twindustrial GmbH,InterBolt,CADEXSOFT,Silsync,Matterize,Enzyme APD,Flywheel Industries,Green Factory AI,Flow Engineering,Elevating Patterns,OTee,Holy Technologies,Monumo,Numorpho Cybernetic Systems (NUMO),heatshape,Struck,Fabriom,AirWorks,OpenSpace,Medra,Leucine,Secondmind,Digital Twin AI,Vizcom,explore,MOVEdot,Violet Labs",130,"""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)"",Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),Design Intelligence (CAD),Design Intelligence (CAD),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),""Knowledge Engineering (R&D, Learning)"",Bleeding Edge BIM (AEC/BIM),Design Intelligence (CAD),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Cognitive Thread (PLM, MBSE, DT)"",Streamlined Supply Chain (SCM),""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Cognitive Thread (PLM, MBSE, DT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)"",Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Knowledge Engineering (R&D, Learning)"",""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)"",Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Y-Combinator,"MOVEdot,Mobius Materials,Leela AI,Sudozi,Zelos Cloud,MorphoAI,Poka Labs,artifact.engineer,Adam,Silimate,CoLab,GroundControl,ArchiLabs,Nextmv,Boltline,Campfire,Kalam Labs,Rescale,Dalus,Mandel AI,Plasticity,camfer,NavierAI,CoFactr,AON3D,Epsilon3,Hestus,RevisionDojo,Axial Composites,DraftAid,Atomic Industries,Jiga,Godela.ai,Rev1,Carbonfact",35,"""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Bleeding Edge BIM (AEC/BIM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""Knowledge Engineering (R&D, Learning)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",Streamlined Supply Chain (SCM),Design Intelligence (CAD),Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",Streamlined Supply Chain (SCM),""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Knowledge Engineering (R&D, Learning)"",""Adaptive Manufacturing (AM, CAM, CNC)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",Streamlined Supply Chain (SCM),""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)""",,,,,Individual
Bootstrapped,"StatStream,Share PLM,Pivot,COSMON,Orthogonal,Rhize Manufacturing Hub,Perception Manufacturing,Gradient Control,Spendkey,Acceleer,RD8,Taiyaki,Data Time Space,Designair,TimeSeer,Vendra,DivergenceAI,Aixma,SyncTwin,NYNE Gmbh,Kabandy,CADEXSOFT,VisionXt S.r.l.,Mak3r.ai,Flow Software,Feather Solutions,TwinMo,Werk24,BimDrone,Santinela",30,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Knowledge Engineering (R&D, Learning)"",Streamlined Supply Chain (SCM),Design Intelligence (CAD),Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)"",Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Insight Partners,"CoLab,Instrumental,BeyondMath,Tulip Interfaces,Software Defined Automation,GreenLite,MaterialsZone,Laminar,LandingAI,SimScale,Augury,Seeq,Monolith (acquired by CoreWeave in 2025),Aquant,nTop,Parter,Apprentice,Imubit",18,"""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,Joshua Fredberg,Institutional Investors
Plug and Play,"Dirac,Rescale,CELUS,BaseTwo,AMESA (formerly Composabl),Acerta,etalytics,""TopoLogic, Inc"",KronosAI,MorphoAI,Tulip Interfaces,AI Materia,Track3D",13,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Knowledge Engineering (R&D, Learning)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM)",,,,,Institutional Investors
Andreessen Horowitz (a16z),"Common Sense Machines,Skydio,Rescale,Kaedim,Hadrian,Labster,Backflip AI,Leo AI,artifact.engineer,EverCurrent,Sloyd,Periodic Labs",12,"Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Knowledge Engineering (R&D, Learning)"",Design Intelligence (CAD),Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),""Knowledge Engineering (R&D, Learning)""",,,,,Individual
Lux Capital,"Pictorus,Womp,Desktop Metal (acquired by Nano Dimension in 2025),Formic,Voxel,Bright Machines,Lumafield,Epsilon3,Hadrian,Bild,OpenSpace,Nominal",12,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)"",""SW+HW=Innovation (Robotics, Drones)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""SW+HW=Innovation (Robotics, Drones)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
NVentures,"Luminary Cloud,Machina Labs,nTop,Sight Machine,PhysicsX,Cusp AI,Morphorm,Rescale,Bright Machines,Compute Maritime,Vention",11,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)""",,,,,
Innovate UK,"Voxshell,Matrac,Planarific,XYZ Reality,MatAlytics,Authentise,Gravity Sketch,Infinitive (formerly CAE Tech),Axial3D,Productive Machines",10,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Design Intelligence (CAD),Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,Individual
Alumni Ventures (Alumni Ventures Group),"Lumafield,BQP,Glacier,ControlRooms.ai,Machina Labs,Divergent,Propel Software,Zoo,Citrine Informatics,Dirac",10,"""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)""",,,,,
