Company,Estimated Headcount,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Founded,Market Opportunity,Team & Execution,Technology Differentiation,Funding Efficiency,Growth Metrics,Industry Impact,Competitive Moat,Weighted Score,Score Financial,Customer Signal Score,Est. Revenue by ARR or HC,Weighted Startup Quality Score,ARR Multiple,Estimated Valuation,Funding Floor,Estimated Value Final,ARR per Employee,Annual Burn Proxy,Runway Proxy (Months),Startup Size Category,Capital Efficiency,Runway Quality,Net Burn Level,Financial Confidence
nTop,145,2024,$65000000.0,$135000000.0,$50000000.0,$600000000.0,2015,4.6,4.7,4.2,4.4,4.3,4.7,4.4,4.48,30,2,$50M,4,9,$450M,$270M,$450M,$344827.6,$29M,29,Large,High,Comfortable,Very High,Strong
Shapr3D,120,2022,$14500000.0,$22000000.0,$25000000.0,$250000000.0,2015,4.6,4.7,4.5,4.3,4.5,4.1,4.1,4.47,30,8,$25M,4,9,$225M,$44M,$225M,$208333.3,$24M,24,Large,High,Comfortable,Very High,Strong
Axial3D,63,2024,$18200000.0,$18200000.0,$18200000.0,$150000000.0,2014,4.6,4.5,4.7,4.5,3.9,4.2,4.3,4.46,30,4,$18.2M,4,9,$163.8M,$36.4M,$163.8M,$288888.9,$12.6M,13,Large,High,Tight,High,Strong
Gravity Sketch,75,2023,$150000.0,$41800000.0,$20000000.0,$300000000.0,2014,4.6,4.5,4.4,4.3,4.5,4.0,4.2,4.41,30,2,$20M,4,9,$180M,$83.6M,$180M,$266666.7,$15M,15,Large,High,Tight,High,Strong
Quilter,12,2025,$25000000.0,$40000000.0,$3000000.0,$50000000.0,2019,4.8,4.6,4.3,4.0,4.4,4.1,4.5,4.41,10,8,$3M,4,9,$27M,$80M,$80M,$250000.0,$2.4M,2,Medium,High,Critical,Low,Strong
Campfire,25,2021,$35000000.0,$35000000.0,$3800000.0,$44000000.0,2018,4.7,4.5,4.6,4.2,3.9,3.9,4.2,4.38,10,2,$3.8M,4,9,$34.2M,$70M,$70M,$152000.0,$5M,5,Medium,High,Critical,Moderate,Strong
Backflip AI,10,2024,$30000000.0,$30000000.0,$5000000.0,$50000000.0,2022,4.4,4.6,4.3,4.0,4.8,4.1,4.4,4.37,20,4,$5M,4,9,$45M,$60M,$60M,$500000.0,$2M,2,Medium,High,Critical,Low,Strong
Threedy,32,2024,$6200000.0,$6200000.0,$5000000.0,$50000000.0,2020,4.5,4.2,4.5,4.2,4.2,4.3,4.3,4.34,20,8,$5M,4,9,$45M,$12.4M,$45M,$156250.0,$6.4M,6,Medium,High,High Risk,Moderate,Strong
ChipAgents,20,2025,$21000000.0,$25000000.0,$1000000.0,$20000000.0,2024,4.6,4.6,4.6,4.4,3.0,4.1,4.0,4.33,10,2,$1M,4,9,$9M,$50M,$50M,$50000.0,$4M,4,Medium,High,Critical,Moderate,Strong
Cognitive Design by CDS,30,2025,$2347800.0,$2300000.0,$3000000.0,$50000000.0,2018,4.2,4.3,4.6,4.1,4.5,4.2,4.2,4.32,10,2,$3M,4,9,$27M,$4.6M,$27M,$100000.0,$6M,6,Medium,High,High Risk,Moderate,Strong
Sloyd,20,2021,$3521700.0,$7000000.0,$1000000.0,$20000000.0,2021,4.3,4.4,4.3,4.4,4.1,4.2,4.2,4.30,10,2,$1M,4,9,$9M,$14M,$14M,$50000.0,$4M,4,Medium,High,Critical,Moderate,Strong
CustoMED,25,2025,$3500000.0,$6000000.0,$1000000.0,$15000000.0,2023,4.4,4.3,4.6,4.4,4.2,3.4,4.1,4.29,10,2,$1M,4,9,$9M,$12M,$12M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
Compute Maritime,12,2024,$0.0,$1500000.0,$1000000.0,$7000000.0,2024,4.2,4.4,4.4,4.1,4.2,4.3,4.4,4.29,10,2,$1M,4,9,$9M,$3M,$9M,$83333.3,$2.4M,2,Small,High,Critical,Low,Strong
Encube,20,2025,$23000000.0,$23000000.0,$7000000.0,$150000000.0,2021,4.2,4.5,4.3,4.2,4.1,4.1,4.2,4.26,20,2,$7M,4,9,$63M,$46M,$63M,$350000.0,$4M,4,Large,High,Critical,Moderate,Strong
CADDi,600,2025,$38000000.0,$202000000.0,$0.0,$350000000.0,2017,4.5,4.2,4.4,3.6,4.2,4.3,4.2,4.22,5,2,$0M,4,9,$0.0M,$404M,$404M,$0.0,$120M,120,Large,Medium,Very Strong,Very High,Strong
Hyperganic,100,2021,$7800000.0,$20000000.0,$10000000.0,$50000000.0,2015,4.8,3.7,4.2,3.9,4.1,4.5,4.3,4.20,30,2,$10M,4,9,$90M,$40M,$90M,$100000.0,$20M,20,Medium,High,Healthy,Very High,Strong
InfinitForm,12,2025,$12300000.0,$12700000.0,$3000000.0,$50000000.0,2022,4.3,4.2,4.3,4.3,3.5,4.2,4.1,4.18,10,4,$3M,4,9,$27M,$25.4M,$27M,$250000.0,$2.4M,2,Medium,High,Critical,Low,Strong
Adam,15,2025,$4100000.0,$4100000.0,$10000000.0,$50000000.0,2023,4.3,4.2,4.4,4.3,4.2,3.3,4.1,4.18,30,2,$10M,4,9,$90M,$8.2M,$90M,$666666.7,$3M,3,Medium,High,Critical,Moderate,Strong
3D Foundry Labs,10,2022,$1500000.0,$2500000.0,$1000000.0,$10000000.0,2022,4.1,4.0,4.5,4.2,4.0,4.2,4.0,4.17,10,2,$1M,4,9,$9M,$5M,$9M,$100000.0,$2M,2,Small,High,Critical,Low,Strong
MecAgent,5,2025,$3000000.0,$3000000.0,$1000000.0,$10000000.0,2025,4.2,4.0,4.5,4.0,4.0,4.3,3.9,4.17,10,4,$1M,4,9,$9M,$6M,$9M,$200000.0,$1M,1,Small,High,Critical,Low,Strong
MorphoAI,50,2024,$120000.0,$3000000.0,$3000000.0,$60000000.0,2021,4.2,4.1,4.6,4.1,3.0,4.2,4.1,4.12,10,4,$3M,4,9,$27M,$6M,$27M,$60000.0,$10M,10,Medium,High,High Risk,High,Strong
Physna,120,2021,$56000000.0,$86000000.0,$0.0,$0.0,2015,4.4,4.0,4.4,3.6,3.8,4.2,4.1,4.11,5,2,$0M,4,9,$0.0M,$172M,$172M,$0.0,$24M,24,Medium,Medium,Comfortable,Very High,Strong
TETMET,25,2024,$1.2,$6.0,$1000000.0,$10000000.0,2018,4.2,4.1,4.2,4.0,3.9,4.1,4.0,4.10,10,2,$1M,4,9,$9M,$0M,$9M,$40000.0,$5M,5,Small,High,Critical,Moderate,Strong
Vendra,2,2025,$0.0,$8900000.0,$1000000.0,$5000000.0,2025,4.8,4.5,3.8,3.9,3.0,4.0,4.0,4.10,10,4,$1M,4,9,$9M,$17.8M,$17.8M,$500000.0,$0.4M,0,Small,High,Critical,Very Low,Strong
Leo AI,12,2025,$9700000.0,$9700000.0,$3000000.0,$45000000.0,2023,4.1,4.0,4.2,4.0,4.0,4.2,4.0,4.08,10,2,$3M,4,9,$27M,$19.4M,$27M,$250000.0,$2.4M,2,Medium,High,Critical,Low,Strong
Spherene,11,2021,$0.0,$0.0,$1000000.0,$10000000.0,2018,4.4,3.9,4.2,4.2,3.8,3.8,3.8,4.08,10,2,$1M,4,9,$9M,$0M,$9M,$90909.1,$2.2M,2,Small,Medium,Critical,Low,Medium
CADEXSOFT,55,2014,$0.0,$0.0,$0.0,$0.0,2014,4.0,4.1,4.2,4.3,3.7,4.0,4.1,4.08,5,2,$0M,4,9,$0.0M,$0M,$0M,$0.0,$11M,11,Small,Low,High Risk,High,Medium
CLO Virtual Fashion,250,2024,$34030000.0,$46000000.0,$26500000.0,$800000000.0,2009,4.3,4.0,3.7,4.2,4.0,4.3,4.1,4.07,30,2,$26.5M,4,9,$238.5M,$92M,$238.5M,$106000.0,$50M,50,Large,High,Very Strong,Very High,Strong
Bench,5,2025,$1400000.0,$1400000.0,$220000.0,$15000000.0,2024,4.5,4.2,3.7,4.0,3.8,4.2,3.5,4.06,5,4,$0.2M,4,9,$2M,$2.8M,$2.8M,$44000.0,$1M,1,Small,High,Critical,Low,Strong
Womp,22,2022,$2500000.0,$2500000.0,$1000000.0,$10000000.0,2021,4.2,3.9,4.5,4.2,3.6,3.6,3.8,4.06,10,2,$1M,4,9,$9M,$5M,$9M,$45454.5,$4.4M,4,Small,High,Critical,Moderate,Strong
Bananaz,40,2024,$5300000.0,$5300000.0,$2000000.0,$20000000.0,2023,4.2,4.7,3.9,4.0,3.3,3.9,3.5,4.06,10,2,$2M,4,9,$18M,$10.6M,$18M,$50000.0,$8M,8,Medium,High,High Risk,High,Strong
P-1 AI,5,2025,$23000000.0,$23000000.0,$0.0,$0.0,2026,4.4,4.0,4.3,3.6,3.6,4.2,3.9,4.06,5,2,$0M,4,9,$0.0M,$46M,$46M,$0.0,$1M,1,Medium,Medium,Critical,Low,Strong
VNTANA,45,2021,$12500000.0,$18700000.0,$5000000.0,$50000000.0,2012,3.7,4.3,4.0,4.0,4.0,4.0,4.5,4.03,20,2,$5M,4,9,$45M,$37.4M,$45M,$111111.1,$9M,9,Medium,High,High Risk,High,Strong
